t [s],ag [g]
0.000000,-0.00046177
0.005000,-0.00046780
0.010000,-0.00047392
0.015000,-0.00048272
0.020000,-0.00048765
0.025000,-0.00049231
0.030000,-0.00050008
0.035000,-0.00050901
0.040000,-0.00051344
0.045000,-0.00052329
0.050000,-0.00053382
0.055000,-0.00052878
0.060000,-0.00052373
0.065000,-0.00052963
0.070000,-0.00053653
0.075000,-0.00053590
0.080000,-0.00056307
0.085000,-0.00058630
0.090000,-0.00056773
0.095000,-0.00058004
0.100000,-0.00066631
0.105000,-0.00070767
0.110000,-0.00067290
0.115000,-0.00069948
0.120000,-0.00072089
0.125000,-0.00067092
0.130000,-0.00049610
0.135000,-0.00057074
0.140000,-0.00041789
0.145000,-0.00056647
0.150000,-0.00054620
0.155000,-0.00071320
0.160000,-0.00051786
0.165000,-0.00038732
0.170000,-0.00019538
0.175000,-0.00035257
0.180000,-0.00022665
0.185000,-0.00033433
0.190000,-0.00043866
0.195000,-0.00033683
0.200000,-0.00014268
0.205000,-0.00010343
0.210000,-0.00027905
0.215000,-0.00052030
0.220000,-0.00013272
0.225000,0.00002298
0.230000,0.00022340
0.235000,0.00090375
0.240000,0.00060068
0.245000,0.00146338
0.250000,0.00257395
0.255000,0.00313770
0.260000,0.00339709
0.265000,0.00303860
0.270000,0.00335973
0.275000,0.00304378
0.280000,0.00289797
0.285000,0.00260971
0.290000,0.00258678
0.295000,0.00306821
0.300000,0.00258670
0.305000,0.00185133
0.310000,0.00108304
0.315000,0.00031561
0.320000,-0.00074394
0.325000,-0.00150053
0.330000,-0.00085657
0.335000,-0.00142401
0.340000,-0.00141681
0.345000,-0.00242336
0.350000,-0.00244227
0.355000,-0.00385459
0.360000,-0.00448516
0.365000,-0.00280349
0.370000,-0.00334803
0.375000,-0.00248568
0.380000,-0.00215853
0.385000,-0.00234395
0.390000,-0.00296720
0.395000,-0.00181854
0.400000,-0.00201736
0.405000,-0.00057634
0.410000,-0.00132492
0.415000,-0.00129779
0.420000,-0.00084610
0.425000,-0.00048566
0.430000,-0.00186033
0.435000,-0.00261423
0.440000,-0.00283795
0.445000,-0.00381780
0.450000,-0.00298109
0.455000,-0.00223766
0.460000,-0.00463533
0.465000,-0.00684657
0.470000,-0.00837609
0.475000,-0.00804355
0.480000,-0.00510305
0.485000,-0.00546001
0.490000,-0.00491968
0.495000,-0.00625316
0.500000,-0.00755766
0.505000,-0.01021067
0.510000,-0.00991360
0.515000,-0.00807947
0.520000,-0.00828960
0.525000,-0.00566032
0.530000,-0.00499364
0.535000,-0.00472010
0.540000,-0.00350494
0.545000,-0.00234849
0.550000,-0.00003474
0.555000,-0.00125506
0.560000,-0.00521873
0.565000,-0.00469421
0.570000,-0.00555280
0.575000,-0.00527902
0.580000,-0.00167630
0.585000,-0.00363361
0.590000,-0.00179059
0.595000,0.00041070
0.600000,0.00156392
0.605000,0.00409815
0.610000,0.00315887
0.615000,0.00170022
0.620000,0.00409507
0.625000,0.00572451
0.630000,0.00887065
0.635000,0.00918123
0.640000,0.01283070
0.645000,0.01177160
0.650000,0.00874722
0.655000,0.00325407
0.660000,0.00016587
0.665000,0.00206693
0.670000,-0.00204295
0.675000,-0.00341605
0.680000,0.00216105
0.685000,0.00424048
0.690000,0.00892500
0.695000,0.00568486
0.700000,-0.00175812
0.705000,0.00243080
0.710000,-0.00206449
0.715000,-0.00199984
0.720000,-0.00153798
0.725000,-0.00465351
0.730000,0.00007995
0.735000,0.00476844
0.740000,0.00620612
0.745000,0.00572617
0.750000,0.00596212
0.755000,0.00188692
0.760000,0.00074637
0.765000,0.00008195
0.770000,-0.00316017
0.775000,-0.00037068
0.780000,-0.00570097
0.785000,-0.00744075
0.790000,-0.01570035
0.795000,-0.01364260
0.800000,-0.01063392
0.805000,-0.00808009
0.810000,0.00328868
0.815000,0.00682425
0.820000,0.00288378
0.825000,0.01333070
0.830000,0.00915778
0.835000,0.01196955
0.840000,0.01451647
0.845000,0.01020236
0.850000,0.01552686
0.855000,0.01628661
0.860000,0.01792493
0.865000,0.01403354
0.870000,0.01891975
0.875000,0.01400294
0.880000,0.00496114
0.885000,0.01073074
0.890000,0.00783085
0.895000,0.00717282
0.900000,0.01543473
0.905000,0.01979081
0.910000,0.02160501
0.915000,0.02549045
0.920000,0.02036346
0.925000,0.02268651
0.930000,0.02674395
0.935000,0.02887945
0.940000,0.02596785
0.945000,0.00454232
0.950000,0.00620259
0.955000,0.00551544
0.960000,0.00226461
0.965000,0.00536455
0.970000,0.00563295
0.975000,0.00558663
0.980000,-0.00391095
0.985000,-0.01306072
0.990000,-0.01147890
0.995000,-0.01154045
1.000000,-0.01115232
1.005000,-0.01053191
1.010000,-0.00838881
1.015000,-0.00848577
1.020000,-0.00778677
1.025000,-0.00644661
1.030000,-0.00090850
1.035000,-0.00449516
1.040000,0.00023945
1.045000,0.00394769
1.050000,0.00416426
1.055000,0.00059055
1.060000,0.00263485
1.065000,0.00792950
1.070000,0.00012618
1.075000,0.00015440
1.080000,0.00021073
1.085000,-0.00472442
1.090000,-0.00925552
1.095000,-0.02020260
1.100000,-0.02770555
1.105000,-0.03807469
1.110000,-0.04148404
1.115000,-0.04427769
1.120000,-0.04673929
1.125000,-0.04224959
1.130000,-0.04190041
1.135000,-0.04552912
1.140000,-0.04892444
1.145000,-0.05528119
1.150000,-0.05414942
1.155000,-0.05305555
1.160000,-0.03740848
